Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Age_50_55	Age_35_39	392.756581633	95.6743359754	379.2088	93.4857939862	1.31446611139	1.0
Age_40_44	Age_25_29	391.302323944	88.062879573	375.969354839	91.5776855692	1.27921292551	1.0
Age_40_44	Age_18_24	391.302323944	88.062879573	360.223766234	77.3468964117	2.58842121477	0.315
Age_30_34	Age_45_49	387.165714286	80.9954807091	400.891744186	90.5739867898	-1.44980343986	1.0
Age_35_39	Age_25_29	379.2088	93.4857939862	375.969354839	91.5776855692	0.263510826583	1.0
Age_50_55	Age_30_34	392.756581633	95.6743359754	387.165714286	80.9954807091	0.58661693799	1.0
Age_50_55	Age_40_44	392.756581633	95.6743359754	391.302323944	88.062879573	0.142159691218	1.0
Age_50_55	Age_18_24	392.756581633	95.6743359754	360.223766234	77.3468964117	2.65184710948	0.168
Age_18_24	Age_45_49	360.223766234	77.3468964117	400.891744186	90.5739867898	-3.4071779265	0.021
Age_35_39	Age_45_49	379.2088	93.4857939862	400.891744186	90.5739867898	-2.10442659785	0.693
Age_35_39	Age_40_44	379.2088	93.4857939862	391.302323944	88.062879573	-1.13252362168	1.0
Age_50_55	Age_45_49	392.756581633	95.6743359754	400.891744186	90.5739867898	-0.832055683435	1.0
Age_45_49	Age_25_29	400.891744186	90.5739867898	375.969354839	91.5776855692	2.12144692664	0.672
Age_30_34	Age_18_24	387.165714286	80.9954807091	360.223766234	77.3468964117	2.4253935969	0.315
Age_35_39	Age_30_34	379.2088	93.4857939862	387.165714286	80.9954807091	-0.80110625028	1.0
Age_50_55	Age_25_29	392.756581633	95.6743359754	375.969354839	91.5776855692	1.40777279137	1.0
Age_40_44	Age_45_49	391.302323944	88.062879573	400.891744186	90.5739867898	-0.942501438962	1.0
Age_18_24	Age_25_29	360.223766234	77.3468964117	375.969354839	91.5776855692	-1.18921514214	1.0
Age_30_34	Age_25_29	387.165714286	80.9954807091	375.969354839	91.5776855692	1.00707348369	1.0
Age_35_39	Age_18_24	379.2088	93.4857939862	360.223766234	77.3468964117	1.52615448103	1.0
Age_30_34	Age_40_44	387.165714286	80.9954807091	391.302323944	88.062879573	-0.424420072435	1.0
