Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
20s	50s	366.869801325	87.4034735506	392.756581633	95.6743359754	-2.58643582016	0.09
teen	40s	384.475789474	69.6855576909	396.555127389	89.5743664326	-0.575596117768	1.0
20s	30s	366.869801325	87.4034735506	383.327974277	87.3338306442	-1.8953591385	0.48
20s	40s	366.869801325	87.4034735506	396.555127389	89.5743664326	-3.36551829749	0.01
30s	50s	383.327974277	87.3338306442	392.756581633	95.6743359754	-1.13822866645	1.0
40s	50s	396.555127389	89.5743664326	392.756581633	95.6743359754	0.452837114617	1.0
teen	30s	384.475789474	69.6855576909	383.327974277	87.3338306442	0.0560350819325	1.0
30s	40s	383.327974277	87.3338306442	396.555127389	89.5743664326	-1.8659337535	0.7
teen	50s	384.475789474	69.6855576909	392.756581633	95.6743359754	-0.366213384623	1.0
teen	20s	384.475789474	69.6855576909	366.869801325	87.4034735506	0.83990461835	1.0
