bmi_cat	race	chao1	observed_otus	shannon	simpson
Normal	African American	271.2250976860471	154.3175	5.509966748730927	0.9313322949999997
Normal	Asian or Pacific Islander	222.11081644301686	129.73912280701754	5.013572178220219	0.9099255666666668
Normal	Caucasian	256.8127383370891	148.6244642857141	5.356382451145468	0.927459054489798
Normal	Hispanic	275.70462958109067	162.21250000000003	5.6572912261395425	0.9434341035714287
Obese	African American	145.5256457160338	91.80199999999999	4.23429346795289	0.8527726679999998
Obese	Asian or Pacific Islander	246.6720439353066	134.464	5.285430632170119	0.9388680559999999
Obese	Caucasian	239.40009509145852	137.88155339805823	5.1442349132514575	0.9155882095145632
Obese	Hispanic	269.27850627404507	144.51	5.444289125349648	0.9518355600000002
Overweight	African American	193.12032127654118	110.24666666666667	4.8746957816536165	0.9308298
Overweight	Asian or Pacific Islander	197.7053302779085	112.63588235294117	4.525818740945408	0.8774706047058825
Overweight	Caucasian	254.92892203151092	146.67441379310327	5.312570148898909	0.9274784255862063
Overweight	Hispanic	261.6464480907393	150.265	5.454062414137855	0.9354643400000001
Underweight	African American	276.56988396847896	149.87	5.421486713794596	0.9477100199999998
Underweight	Asian or Pacific Islander	186.30085386867165	107.61999999999999	4.4456226000254215	0.8685598200000001
Underweight	Caucasian	233.6683591239351	135.17066666666665	5.042784111254428	0.906596054333333
