OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Asian or Pacific Islander_mean	African American_mean	Caucasian_mean	Hispanic_mean
k__Archaea;p__Euryarchaeota	4.99930187853	0.171848271319	0.825510990027	1.0	9.178243339e-05	1.33529621877e-05	0.000225090848155	8.8708305457e-05
k__Bacteria;p__Firmicutes	4.7193227155	0.193541815491	0.825510990027	1.0	0.529849149438	0.521843183655	0.489142577534	0.516794965358
k__Bacteria;p__Chloroflexi	4.55648454409	0.20730699279	0.825510990027	1.0	1.02452018305e-05	0.0	6.95834365135e-07	1.76570298522e-05
k__Bacteria;p__Lentisphaerae	4.34555779396	0.226486844322	0.825510990027	1.0	0.00019578674254	0.000605424410346	0.000224864376435	0.000371621157051
k__Bacteria;p__Synergistetes	4.05087456104	0.256022740092	0.825510990027	1.0	3.05824337457e-05	0.0	7.49347648166e-05	3.1929787449e-05
k__Bacteria;p__Proteobacteria	4.00720025833	0.260687681061	0.825510990027	1.0	0.041218605066	0.0234655019329	0.0536799497196	0.0445183124986
k__Bacteria;p__Fusobacteria	3.32740062803	0.343847159081	0.928753454091	1.0	0.000257429284558	0.000610589909158	0.00143599933519	5.81718527011e-05
k__Bacteria;p__Spirochaetes	2.85123600357	0.415134860786	0.928753454091	1.0	3.64557423757e-06	5.50020213243e-06	6.76641977252e-06	0.0
k__Bacteria;p__Bacteroidetes	2.17252003313	0.537381330146	0.928753454091	1.0	0.380208699967	0.412456759625	0.407934578161	0.393944480678
k__Bacteria;p__Tenericutes	2.03528707038	0.565115138188	0.928753454091	1.0	0.00543681509517	0.00333198689771	0.00633417254361	0.0077668616049
k__Bacteria;p__Elusimicrobia	1.94402679213	0.584105040147	0.928753454091	1.0	0.0	0.0	1.47581965829e-05	1.30832209145e-05
k__Bacteria;p__[Thermi]	1.67387896347	0.64275662835	0.928753454091	1.0	5.69177879471e-07	0.0	1.29811392384e-06	0.0
k__Bacteria;p__Verrucomicrobia	1.62311043568	0.654161110232	0.928753454091	1.0	0.0170768460984	0.00351915912572	0.0177411021432	0.0197871806368
k__Bacteria;p__Cyanobacteria	1.49101915576	0.684344650383	0.928753454091	1.0	0.00119503395028	0.000605834986337	0.00141186553307	0.00269620737223
k__Bacteria;p__Actinobacteria	1.1994395339	0.75313873772	0.953975734446	1.0	0.0244070883343	0.0335023120448	0.0217576772519	0.0139069177021
k__Bacteria;p__Acidobacteria	0.870719023489	0.832487606532	0.978863207957	1.0	2.84631899555e-06	0.0	3.16889274876e-06	2.60311496174e-06
k__Bacteria;p__TM7	0.688843095961	0.875824975541	0.978863207957	1.0	6.47231871185e-06	4.03942478591e-05	4.22642450015e-06	3.71873565963e-07
k__Bacteria;p__SR1	0.339356348191	0.952464356231	0.99041495194	1.0	8.4025650658e-06	0.0	4.32109145965e-06	9.27807312977e-07
k__Bacteria;p__Gemmatimonadetes	0.11156022634	0.99041495194	0.99041495194	1.0	0.0	0.0	1.95281577381e-06	0.0
