OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hispanic_mean	African American_mean	Caucasian_mean	Asian or Pacific Islander_mean
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__	36.1621621621	6.9199110371e-08	3.25235818744e-05	3.25235818744e-05	8.055265566e-05	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae;g__Arthrospira	25.1099509461	1.46443619148e-05	0.00344142504999	0.00688285009997	0.0	0.000191708602924	7.22084420473e-07	0.0
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	19.8274736051	0.000184305399558	0.0288745125974	0.0866235377922	0.0	4.07013074696e-05	9.1086303968e-07	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__	16.9851805244	0.00071171952798	0.0592833025962	0.33450817815	6.84195221949e-05	1.20581515037e-05	3.93513616131e-05	3.47458687162e-07
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis	16.785565303	0.000782254609577	0.0592833025962	0.367659666501	7.5127516387e-05	1.85930278687e-05	0.000238856285267	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Conchiformibius	16.6319689739	0.000841219566699	0.0592833025962	0.395373196349	4.32224489309e-05	0.0	4.74959515336e-06	3.14187399066e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Dyella	16.4411379606	0.000920663139717	0.0592833025962	0.432711675667	0.0	6.88288089863e-06	9.20273783474e-08	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;g__Lupinus	16.2471099306	0.001009077491	0.0592833025962	0.47426642077	2.42808615821e-06	1.45433985878e-05	1.59520396268e-06	8.8591536319e-07
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101	15.1717678028	0.00167559206961	0.0875031414129	0.787528272716	0.0	2.55819680373e-05	1.45538799112e-06	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides	14.6249999997	0.00216684339855	0.101841639732	1.0	0.0	0.0	0.0	0.000951062428986
