OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Asian or Pacific Islander_mean	African American_mean	Caucasian_mean	Hispanic_mean
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita	51.4016921432	4.01706051745e-11	1.8880184432e-08	1.8880184432e-08	0.0	1.16650270823e-05	1.27620889952e-06	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__;g__	36.1621621621	6.9199110371e-08	1.62617909372e-05	3.25235818744e-05	0.0	0.0	0.0	1.53342275293e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium	27.7086632718	4.18109208074e-06	0.000655037759316	0.00196511327795	0.0	5.89293830568e-06	7.52492938599e-06	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Methylibium	25.0351769635	1.51812022039e-05	0.00178379125895	0.00713516503582	0.0	1.80740312319e-05	3.75600613299e-07	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Thalassobacillus	18.2278671327	0.00039472481377	0.0371041324944	0.185520662472	1.03701737212e-06	5.54240773277e-06	3.29493262463e-07	3.11371279113e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Trabulsiella	16.4141719439	0.000932474436426	0.0730438308533	0.43826298512	1.4710208885e-05	0.0	4.38766479338e-06	1.51876870026e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium	15.8208471847	0.00123402951201	0.0828562672352	0.579993870647	0.0	1.11956117881e-05	3.45438826088e-06	1.39257146677e-06
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__	14.6249999997	0.00216684339855	0.101841639732	1.0	7.42397846056e-06	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium	14.6249999997	0.00216684339855	0.101841639732	1.0	3.41019097069e-05	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Wolbachia	14.6249999997	0.00216684339855	0.101841639732	1.0	9.36294520804e-06	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__	13.3271075213	0.0039800590408	0.169371861005	1.0	0.000250145462138	6.64583123162e-05	0.000768386017169	3.26422490401e-06
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	13.1494109717	0.00432438794056	0.169371861005	1.0	4.86127010455e-06	0.0	4.70803998056e-06	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus	12.8337335732	0.00501031669266	0.172021792995	1.0	7.06439737397e-06	0.0	1.70665991345e-06	1.21308781274e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	12.7855617726	0.00512405340835	0.172021792995	1.0	0.000116111815991	0.0	7.35731993829e-06	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus	11.7508423544	0.00828727904544	0.254892358422	1.0	0.000282627105232	0.00032931611965	0.000308461727848	0.000942218157314
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__	11.5409318875	0.00913318446855	0.254892358422	1.0	0.00228406785063	0.00297579234738	0.00413067981213	0.00497761298222
k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales];f__Brachyspiraceae;g__Brachyspira	11.5206000417	0.00921951083653	0.254892358422	1.0	0.0	1.66272231983e-05	1.80219445151e-06	3.81672979538e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	10.7256936245	0.013305505602	0.347421535162	1.0	0.000178333534861	0.000578351376201	0.000826772151678	0.000768102555909
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	10.3540952152	0.0157840313478	0.390447091235	1.0	0.00641803062066	0.00685878529945	0.00678656756211	0.0105133558858
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	10.1928553256	0.0169959627421	0.39940512444	1.0	0.000265542569301	1.13433260181e-05	0.00044897995188	0.000218760175533
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia	9.82975395775	0.0200701287769	0.449188596434	1.0	2.88056201413e-06	8.62886732414e-06	2.48636583681e-06	1.02189614923e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Mitsuaria	9.71380753716	0.0211622900476	0.452103469199	1.0	0.0	1.80740312319e-05	1.3300045176e-06	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium	9.59347927428	0.0223574128562	0.45686887141	1.0	8.5505513786e-05	2.25734984878e-05	0.000100200813262	0.000258789101714
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium	9.35760643769	0.024895448983	0.468411144722	1.0	6.45128555919e-05	0.0	7.76490439186e-05	7.09958204118e-05
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	9.27719018514	0.025823723716	0.468411144722	1.0	0.0	2.20340514231e-06	3.14418362094e-07	2.58550190151e-07
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	9.26968199816	0.0259121058783	0.468411144722	1.0	0.00312931316769	0.00183682837451	0.00108480195517	0.000763674390891
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__	8.83387029079	0.031583192506	0.549781499178	1.0	1.99315183427e-05	0.0	1.37316044727e-05	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	8.57048296058	0.03558174477	0.578300252018	1.0	0.00576761322258	0.000910972772366	0.00303205381852	2.65884140381e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	8.53328170165	0.0361849785025	0.578300252018	1.0	1.57536653686e-05	6.27067123877e-06	0.000276723042996	2.46333459238e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium	8.48919646437	0.0369127820437	0.578300252018	1.0	2.42226155257e-06	7.37906632674e-06	3.9786834916e-06	9.32900560411e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	8.17474560825	0.0425349735128	0.603684720613	1.0	0.0319358439791	0.0128378531741	0.0379051750012	0.0147411995284
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	8.10413448933	0.043907877439	0.603684720613	1.0	0.00979844501724	0.012015931804	0.0113189766068	0.0164122578694
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	8.03699885585	0.0452532076965	0.603684720613	1.0	0.000377096775604	6.04927649345e-05	0.000479333100729	2.99335773918e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__	8.02984336213	0.0453989430366	0.603684720613	1.0	0.0	5.54240773277e-06	1.5923418453e-06	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella	7.9843907089	0.0463354066063	0.603684720613	1.0	0.0	8.07532012588e-07	3.42809761954e-06	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	7.97183171984	0.0465974604152	0.603684720613	1.0	0.075043077281	0.0558727279957	0.0887078229517	0.0861616406146
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium	7.92796654145	0.0475241163036	0.603684720613	1.0	0.00596594979897	0.00255572124151	0.00716902414351	0.0128191659987
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas	7.71058307117	0.0523875327331	0.644026337672	1.0	0.000968707276189	0.0012980890438	0.00155019021794	0.000967424728327
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__p-75-a5	7.66611191623	0.0534404833388	0.644026337672	1.0	4.33485647492e-05	0.0	2.49756812289e-05	0.000148113255651
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__;g__	7.60168135064	0.0550025842759	0.644991128727	1.0	0.0	8.07532012588e-07	5.09497806237e-07	7.21374767176e-07
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	7.55089015173	0.0562651835698	0.644991128727	1.0	0.00065272052247	0.000508626291924	0.000967647653058	0.000834542739544
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	7.44875644725	0.0588898401986	0.658060370814	1.0	8.78902246241e-06	1.32142636853e-05	3.19238788749e-05	2.91864771759e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	7.38792833984	0.0605090649939	0.658060370814	1.0	4.12067535841e-05	4.64263506844e-05	0.000458064322418	7.22767996404e-05
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma	7.34762400462	0.0616056517358	0.658060370814	1.0	7.99590012425e-06	0.0	1.19333398173e-06	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	7.22258792143	0.0651315735572	0.680263101598	1.0	0.0208483457999	0.00951448180926	0.0242525503712	0.0231266482918
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera	6.92386077862	0.074364592776	0.759812143581	1.0	0.000411383155936	0.0202546010756	0.00171129981607	0.000342492564938
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__	6.49404184741	0.0898977751835	0.898977751835	1.0	0.00245517580818	0.00178508542995	0.00370094556969	0.00745145052243
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	6.41091813165	0.0932426582423	0.913001028622	1.0	0.00561906930922	0.0153128319345	0.00774685116259	0.0126290840455
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__	6.21741770528	0.101498424468	0.969195614615	1.0	0.000847555590214	0.000429263426456	0.000788358331346	0.000922214987645
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	6.1546603692	0.10432337714	0.969195614615	1.0	0.000797461731543	0.000464854778819	0.00088576036373	0.000765426103751
