OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Asian or Pacific Islander_mean	African American_mean	Caucasian_mean	Hispanic_mean
k__Bacteria;p__Firmicutes;c__Clostridia	14.2948876091	0.00253003905583	0.107570966836	0.116381796568	0.417549977204	0.506228448315	0.453931701904	0.544073445082
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	12.9814016434	0.00467699855808	0.107570966836	0.215141933672	3.24577795382e-06	2.45795047787e-05	6.2627138055e-06	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	10.4646110201	0.0150028926656	0.227015747911	0.690133062617	0.00815867336664	0.0104278379307	0.00657018537395	0.000714905764978
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	9.86596787457	0.0197404998183	0.227015747911	0.908062991642	0.000400269565952	0.000316669197417	0.00141211134257	0.000620346754344
k__Bacteria;p__TM7;c__TM7-3	9.22146559432	0.0264867898634	0.243678466743	1.0	1.75865784046e-05	0.0	3.87139595622e-06	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	8.6240112802	0.034730969886	0.266270769126	1.0	1.01848505846e-06	8.49931792974e-06	5.18175542021e-06	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	5.91237533691	0.115952056809	0.76197065903	1.0	0.000127163714854	4.46404795336e-05	0.000215453522373	7.45702950377e-05
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	5.54070557013	0.136224143667	0.769174928708	1.0	0.0126159172694	0.015159207733	0.0137471528446	0.00989662404654
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	5.27129794717	0.152975703793	0.769174928708	1.0	0.43489560682	0.35452533877	0.403110036788	0.366990480057
k__Bacteria;p__Synergistetes;c__Synergistia	4.97749913655	0.173452202142	0.769174928708	1.0	3.61282495382e-05	0.0	7.52607691405e-05	7.84062154526e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria	4.83951273834	0.183933135126	0.769174928708	1.0	0.0164922126964	0.0242826775827	0.0186702635843	0.0232818327751
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	4.31508202224	0.229389595333	0.879326782109	1.0	0.000288720820063	7.29178605221e-05	0.000234484317993	1.60676062051e-05
k__Bacteria;p__Tenericutes;c__RF3	3.99037890198	0.262504910603	0.928863529825	1.0	0.000231670240836	0.000127570343759	0.000541153990084	0.000541261947145
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	3.71298102384	0.294171436884	0.966563292619	1.0	2.29676676487e-06	3.30461075816e-05	6.70369685473e-06	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	3.35026892159	0.340707205226	0.99041495194	1.0	0.000203670121417	8.49931792974e-06	0.000493741079017	5.20140625219e-07
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	3.29883395772	0.347804969083	0.99041495194	1.0	0.0166135607031	0.00513142313674	0.0322285281054	0.00876491864307
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	2.53314281825	0.469331199064	0.99041495194	1.0	0.00314347965848	0.00271921577809	0.00289717543118	0.00225757884421
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	2.40804488228	0.49213882737	0.99041495194	1.0	2.08992821793e-06	0.0	2.58812981645e-06	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	2.19138154243	0.533647933042	0.99041495194	1.0	0.000487788595971	0.000149693998541	0.000235511665122	0.000177494456519
k__Bacteria;p__Verrucomicrobia;c__Opitutae	2.18774144124	0.534366959468	0.99041495194	1.0	2.45042242121e-05	0.0	4.72992288713e-05	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres	2.14764294876	0.542334560026	0.99041495194	1.0	0.0	0.0	8.56596578317e-07	0.0
k__Bacteria;p__SR1;c__	2.13046459728	0.545774196704	0.99041495194	1.0	3.78290449359e-05	0.0	2.22377895707e-06	1.05876237031e-06
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	1.91877010466	0.589436224183	0.99041495194	1.0	0.0	0.0	1.51495297873e-05	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	1.86937377422	0.599956007575	0.99041495194	1.0	0.0115866380518	0.0104124415122	0.0123700504053	0.00954527506183
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	1.85733915096	0.602537480565	0.99041495194	1.0	1.98681489149e-06	0.0	2.14265222368e-06	0.0
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	1.69342655791	0.638396209958	0.99041495194	1.0	9.54606549365e-07	0.0	8.12811198257e-07	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia	1.68689648794	0.639850925206	0.99041495194	1.0	4.99089162279e-06	0.0	2.26401602294e-06	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	1.46301701793	0.690831904002	0.99041495194	1.0	0.0	0.0	0.000182228645868	0.0
k__Bacteria;p__Spirochaetes;c__[Brachyspirae]	1.12293813888	0.771539809541	0.99041495194	1.0	0.0	0.0	2.09109736501e-06	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	1.09898776119	0.777318447705	0.99041495194	1.0	0.00100612623006	3.48359246663e-05	0.000263160508156	0.00137372124205
k__Bacteria;p__Spirochaetes;c__Spirochaetes	1.05629080242	0.787634728533	0.99041495194	1.0	2.98894818184e-06	0.0	4.7798379456e-06	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	1.04404678918	0.790595609352	0.99041495194	1.0	9.1857812571e-07	0.0	1.59674907268e-06	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	1.00387926625	0.800313289211	0.99041495194	1.0	0.00318346377418	0.00347065859802	0.00310916469555	0.00273848486398
k__Bacteria;p__Firmicutes;c__Bacilli	0.862697134292	0.834419215046	0.99041495194	1.0	0.035900844464	0.0351127425078	0.0241670706808	0.0119672471702
k__Bacteria;p__Acidobacteria;c__DA052	0.858735550313	0.83537268407	0.99041495194	1.0	3.25321319868e-07	0.0	9.07404958705e-07	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.715606334127	0.869527187208	0.99041495194	1.0	0.00183227490133	0.000946750208062	0.0011460095105	0.000593578318353
k__Bacteria;p__Tenericutes;c__Mollicutes	0.602455094816	0.895870106169	0.99041495194	1.0	0.00633756244979	0.00401506608164	0.0057292231236	0.00638029572691
