OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	148.0	7.11515725656e-32	3.69988177341e-30	3.69988177341e-30	0.0	0.0	0.0	0.00312674137824
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__	47.0089515894	3.4604018058e-10	8.99704469509e-09	1.79940893902e-08	0.0	0.00334700220006	0.00382364261521	0.0475846343589
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	20.2023264803	0.000154117165105	0.00267136419515	0.00801409258544	0.000116882055214	9.5389816191e-06	7.89169006696e-05	0.0
Unassigned	15.6573948265	0.0013329280347	0.0173280644511	0.0693122578043	0.000773597746718	0.00268604132285	0.00129220695674	0.00513815661257
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae	14.4500425516	0.00235237752833	0.0244647262947	0.122323631473	0.0	0.000101305549183	0.000204457557337	0.000185747012569
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__	12.6753762805	0.00539389967479	0.0460583624323	0.280482783089	0.00025406504065	0.00525421887518	0.0046068255274	0.00811623804955
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	12.1726190961	0.00681463683182	0.0460583624323	0.354361115255	0.616957798257	0.533762400616	0.435204388109	0.505345200123
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae	11.9180199648	0.00766933100695	0.0460583624323	0.398805212362	0.0	8.49493560569e-05	9.53858206485e-05	0.000643141239618
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__	11.8273635145	0.00799855522186	0.0460583624323	0.415924871537	0.0	0.00184515533765	0.00154201734307	0.00107655093561
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__	11.6071857434	0.00885737739083	0.0460583624323	0.460583624323	0.00988343931863	0.0265899671075	0.0387070282002	0.0448067789557
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	10.2489220422	0.0165645101898	0.0783049572608	0.861354529869	0.0775847573285	0.0682368002045	0.102898705799	0.0872554772514
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	9.11480930826	0.0278027445974	0.120478559922	1.0	0.0	0.00996279129737	0.00730935659019	0.00100068865601
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	8.55907638535	0.0357656548784	0.135956717387	1.0	0.00386571828886	0.00225087890021	0.00256353271674	0.0151891035483
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae	8.50781191756	0.0366037316042	0.135956717387	1.0	0.0027036357657	0.000291794953472	0.000364008478993	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	8.20427684863	0.0419732871228	0.145507395359	1.0	0.000404074296235	0.000156592697577	0.000389694501372	6.19156708563e-05
