OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	148.0	7.11515725656e-32	7.68436983709e-30	7.68436983709e-30	0.0	0.0	0.0	0.00312674137824
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__	47.0089515894	3.4604018058e-10	1.86861697513e-08	3.73723395027e-08	0.0	0.00334700220006	0.00382364261521	0.0475846343589
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Butyricimonas	27.4889756062	4.64921047351e-06	0.000167371577047	0.00050211473114	0.0	0.00295673824194	0.00634773127249	0.00162681866895
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	20.2023264803	0.000154117165105	0.00416116345783	0.0166446538313	0.000116882055214	9.5389816191e-06	7.89169006696e-05	0.0
Unassigned	15.6573948265	0.0013329280347	0.0252699447534	0.143956227747	0.000773597746718	0.00268604132285	0.00129220695674	0.00513815661257
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__rc4-4	15.3855270953	0.00151514191657	0.0252699447534	0.16363532699	0.0	3.19509638288e-05	8.22199093199e-05	0.0
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae	15.220141456	0.00163786678957	0.0252699447534	0.176889613274	5.84410276071e-05	1.28089316252e-05	2.44824670488e-05	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	12.8201020406	0.00504224580177	0.0647267960974	0.544562546591	0.00627543733571	0.0042902006034	0.00711608175005	0.00100766196038
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__	12.6753762805	0.00539389967479	0.0647267960974	0.582541164877	0.00025406504065	0.00525421887518	0.0046068255274	0.00811623804955
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus	12.4489077288	0.00599342693261	0.0647290108722	0.647290108722	0.00311479282969	0.0054372995217	0.00975619130308	0.00976619718105
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	12.1726190961	0.00681463683182	0.0664495356893	0.735980777837	0.616957798257	0.533762400616	0.435204388109	0.505345200123
