OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean
Unassigned	15.6573948265	0.0013329280347	0.026658560694	0.026658560694	0.000773597746718	0.00268604132285	0.00129220695674	0.00513815661257
k__Bacteria; p__Tenericutes; c__Mollicutes	12.1585629458	0.00685926605019	0.0399927761093	0.137185321004	0.00025406504065	0.0053900737265	0.00469691441145	0.00811623804955
k__Bacteria; p__Firmicutes; c__Clostridia	11.9958546946	0.0073973740681	0.0399927761093	0.147947481362	0.203465702284	0.261874872872	0.352702509425	0.32367103882
k__Bacteria; p__Tenericutes; c__RF3	11.8273635145	0.00799855522186	0.0399927761093	0.159971104437	0.0	0.00184515533765	0.00154201734307	0.00107655093561
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	10.3572433712	0.0157612357796	0.0630449431185	0.315224715592	0.728508430057	0.687180862682	0.602844131246	0.648171589205
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	9.49988848167	0.0233325468282	0.0777751560939	0.466650936563	0.00129728277154	0.00252350661338	0.000592240693767	0.0
k__Bacteria; p__Fusobacteria; c__Fusobacteriia	8.50781191756	0.0366037316042	0.104582090298	0.732074632084	0.0027036357657	0.000291794953472	0.000364008478993	0.0
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	5.12369449807	0.16296048793	0.365958911882	1.0	0.000127032520325	0.00317758223491	0.00143233068019	3.09578354281e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	5.01276102332	0.170865100772	0.365958911882	1.0	0.0	0.00585801162333	0.00343431619934	0.0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	4.85175983123	0.182979455941	0.365958911882	1.0	0.0565408470376	0.0199821388212	0.0206206776514	0.00789646858361
k__Bacteria; p__Cyanobacteria; c__4C0d-2	4.51566732461	0.21089704789	0.383449177982	1.0	0.0	0.000560226101099	0.00134181176987	0.0
k__Bacteria; p__Synergistetes; c__Synergistia	3.74634197375	0.290189453426	0.483649089043	1.0	0.0	7.28116006146e-06	2.29114253511e-05	0.0
k__Bacteria; p__Firmicutes; c__Bacilli	3.38212867238	0.336374461544	0.484152471573	1.0	0.00143348947115	0.000379625590843	0.000592171017755	9.28735062844e-05
k__Bacteria; p__Verrucomicrobia; c__Opitutae	3.22155176486	0.358711262182	0.484152471573	1.0	0.0	9.65793172073e-05	0.0	0.0
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	3.19092687641	0.36311435368	0.484152471573	1.0	0.00232502874454	0.00593501588427	0.00589695170378	0.00524888541404
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]	2.91030102038	0.405662754393	0.507078442991	1.0	4.23441734417e-05	0.000119821297223	9.67446976576e-05	0.000216704847997
k__Bacteria; p__Actinobacteria; c__Coriobacteriia	1.92463802938	0.588194728911	0.688818674907	1.0	0.00108884007643	0.00102127424824	0.00140787725209	0.00034053618971
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.72296049205	0.63184127531	0.688818674907	1.0	0.000168907883754	0.000238161424221	0.000253951987214	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria	1.62215092385	0.654377741161	0.688818674907	1.0	0.00127079642785	0.000817933138019	0.000864332765105	0.0
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	0.225912747548	0.973301508581	0.973301508581	1.0	0.0	1.40416512973e-05	1.89429457417e-06	0.0
