OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean
Unassigned	15.6573948265	0.0013329280347	0.0146622083817	0.0146622083817	0.000773597746718	0.00268604132285	0.00129220695674	0.00513815661257
k__Bacteria; p__Firmicutes	11.7645930236	0.00823464822242	0.0390447445053	0.0905811304466	0.207224220499	0.268189514348	0.359191632147	0.329012797741
k__Bacteria; p__Tenericutes	11.2088412941	0.0106485666833	0.0390447445053	0.117134233516	0.00025406504065	0.00723522906415	0.00623893175452	0.00919278898516
k__Bacteria; p__Bacteroidetes	10.3572433712	0.0157612357796	0.043343398394	0.173373593576	0.728508430057	0.687180862682	0.602844131246	0.648171589205
k__Bacteria; p__Fusobacteria	8.50781191756	0.0366037316042	0.0805282095293	0.402641047646	0.0027036357657	0.000291794953472	0.000364008478993	0.0
k__Bacteria; p__Cyanobacteria	4.51566732461	0.21089704789	0.343740695886	1.0	0.0	0.000560226101099	0.00134181176987	0.0
k__Bacteria; p__Verrucomicrobia	4.42864395443	0.2187440792	0.343740695886	1.0	0.000127032520325	0.00327416155212	0.00143233068019	3.09578354281e-05
k__Bacteria; p__Synergistetes	3.74634197375	0.290189453426	0.399010498461	1.0	0.0	7.28116006146e-06	2.29114253511e-05	0.0
k__Bacteria; p__Proteobacteria	3.0721067548	0.380640795543	0.446229029832	1.0	0.0580070376929	0.0286158601334	0.0249030808263	0.00789646858361
k__Bacteria; p__Lentisphaerae	2.91030102038	0.405662754393	0.446229029832	1.0	4.23441734417e-05	0.000119821297223	9.67446976576e-05	0.000216704847997
k__Bacteria; p__Actinobacteria	0.962380228682	0.810353746112	0.810353746112	1.0	0.00235963650428	0.00183920738626	0.0022722100172	0.00034053618971
